feature	score	direction	p_value	q_value	n_permutations	at_permutation_floor
K12661	0.876269257076222	baseline	0.0048699513004869	0.2681877218494896	100000	False
ENOG4111K1X	0.8636652104551701	endpoint	0.0048899511004889	0.2681877218494896	100000	False
PF04829	0.8529178568962898	baseline	0.0049199508004919	0.2681877218494896	100000	False
P_LP.2140	0.857264908215042	baseline	0.0049299507004929	0.3856075392734445	100000	False
P_AQ.1321	0.862360795820913	baseline	0.0049399506004939	0.3856075392734445	100000	False
K18478	0.8703760445800504	baseline	0.0049399506004939	0.2681877218494896	100000	False
P_LP.2691	0.8402636532083563	endpoint	0.0049499505004949	0.3856075392734445	100000	False
N_LP.380	0.851853163927078	endpoint	0.0049499505004949	0.3856075392734445	100000	False
COG5620	0.8522064935021899	endpoint	0.0049799502004979	0.2681877218494896	100000	False
K00108	0.8760866009938707	baseline	0.0049799502004979	0.2681877218494896	100000	False
PF18395	0.8632830838902762	endpoint	0.0049899501004989	0.2681877218494896	100000	False
K03591	0.8680111316521513	baseline	0.0050099499005009	0.2681877218494896	100000	False
ENOG410ZRD3	0.8628672896210651	endpoint	0.0050099499005009	0.2681877218494896	100000	False
PF00239	0.8462560188489582	endpoint	0.0050199498005019	0.2681877218494896	100000	False
ENOG410ZPTT	0.8633203625511686	baseline	0.0050299497005029	0.2681877218494896	100000	False
K08163	0.8776041163635672	baseline	0.0050299497005029	0.2681877218494896	100000	False
P_LP.1626	0.863125742379548	baseline	0.0050399496005039	0.3856075392734445	100000	False
ENOG410YGJ0	0.8728883574738744	baseline	0.0050599494005059	0.2681877218494896	100000	False
ENOG4111TZY	0.8373517667682081	endpoint	0.0050599494005059	0.2681877218494896	100000	False
K08326	0.8696956647533195	baseline	0.0050699493005069	0.2681877218494896	100000	False
N_LP.2311	0.859406069207558	baseline	0.0050999490005099	0.3856075392734445	100000	False
COG0384	0.8738548201610047	baseline	0.0051299487005129	0.2698970636406395	100000	False
ENOG4111UY6	0.8619682449324518	endpoint	0.0051599484005159	0.2698970636406395	100000	False
K16789	0.8583276399811577	endpoint	0.0051699483005169	0.2698970636406395	100000	False
P_LP.836	0.865104042351416	baseline	0.0051799482005179	0.3856075392734445	100000	False
K06162	0.8594016063055712	baseline	0.0051799482005179	0.2698970636406395	100000	False
P_LP.810	0.8726791201578118	baseline	0.0052199478005219	0.3856075392734445	100000	False
P_LP.344	0.8534657569218347	endpoint	0.0052299477005229	0.3856075392734445	100000	False
P_LP.1773	0.8557447671963677	endpoint	0.0052399476005239	0.3856075392734445	100000	False
N_LP.1732	0.8358673189670917	endpoint	0.0052499475005249	0.3856075392734445	100000	False
ENOG410YI7H	0.8346935906760774	endpoint	0.0052799472005279	0.2698970636406395	100000	False
K01841	0.8662392865655484	endpoint	0.0052799472005279	0.2698970636406395	100000	False
N_LP.772	0.8569762126744058	baseline	0.0052899471005289	0.3856075392734445	100000	False
K11930	0.8680165881272941	baseline	0.0052999470005299	0.2698970636406395	100000	False
PF02629	0.8545653414743031	baseline	0.0052999470005299	0.2698970636406395	100000	False
PF17770	0.8615956009635806	endpoint	0.0052999470005299	0.2698970636406395	100000	False
K01058	0.8802689997625489	baseline	0.0053099469005309	0.2698970636406395	100000	False
ENOG4111UR5	0.8424123750594829	endpoint	0.0053199468005319	0.2698970636406395	100000	False
ENOG410XWRS	0.8555257855468797	endpoint	0.0053199468005319	0.2698970636406395	100000	False
PF01042	0.8450526678275443	baseline	0.0053299467005329	0.2698970636406395	100000	False
COG2716	0.8876572346016787	baseline	0.0053399466005339	0.2698970636406395	100000	False
COG1567	0.8595825306406957	endpoint	0.0053399466005339	0.2698970636406395	100000	False
P_LP.2989	0.8561435149963381	baseline	0.0053699463005369	0.3856075392734445	100000	False
P_LP.332	0.8468944716186211	endpoint	0.0053799462005379	0.3856075392734445	100000	False
N_AQ.280	0.8622380461806063	baseline	0.0053899461005389	0.3856075392734445	100000	False
ENOG410XX6B	0.8608988086573474	endpoint	0.0053899461005389	0.2706382557165682	100000	False
N_LP.334	0.8499942407003638	baseline	0.0053899461005389	0.3856075392734445	100000	False
P_LP.945	0.8335427003666389	baseline	0.0053999460005399	0.3856075392734445	100000	False
K03810	0.8482863144477537	baseline	0.0053999460005399	0.2706382557165682	100000	False
ENOG410Y6W3	0.8658598981028974	endpoint	0.0054099459005409	0.2706382557165682	100000	False
K12289	0.8671132317393775	baseline	0.0054199458005419	0.2706382557165682	100000	False
P_AQ.851	0.8658811735993901	baseline	0.0054299457005429	0.3856075392734445	100000	False
PF16966	0.8614415001135427	baseline	0.0054499455005449	0.2706382557165682	100000	False
K21965	0.8431659976738014	baseline	0.0054499455005449	0.2706382557165682	100000	False
